id,name,continent,subregion,driving_side,area,population,gdp_per_capita,Armed Forces size,Capital/Major City,GDP,Latitude,Longitude,hemisphere,pop_density,is_landlocked,timezone_count,unesco_sites,population_cat,area_cat,GDP_cat,gdp_per_capita_cat,armed_forces_cat,pop_density_cat,timezone_cat,unesco_cat,latitude_cat,longitude_cat,olympics_hosted_count,olympics_latest_year
NZL,New Zealand,Oceania,Australia And New Zealand,Left,267710,5223100,48528,9000,Wellington,206928765544,-40.900557,174.885971,South,19.51,False,5,3,2.6M-6.0M,206.5K-456.9K km²,Mid-Size ($100B-$500B),$32.6K-$128.3K,1-10K,19-44 /km²,3-5,3-5,Deep South (< -30°),Pacific (140°+),0,0
CRI,Costa Rica,Americas,Latin America And The Caribbean,Right,51100,5212173,16595,10000,San Jos������,61773944174,9.748917,-83.753428,North,102.0,False,1,4,2.6M-6.0M,28.8K-88.2K km²,Developing ($25B-$100B),$13.9K-$32.6K,1-10K,72-103 /km²,1,3-5,Equatorial (-10° to 10°),Americas (-100° to -50°),0,0
MRT,Mauritania,Africa,Sub-Saharan Africa,Right,1030700,4862989,2149,21000,Nouakchott,7593752450,21.00789,-10.940835,North,4.72,False,1,2,2.6M-6.0M,1.0M-17.1M km²,Small ($5B-$25B),$1.6K-$3.8K,10K-50K,2-19 /km²,1,1-2,Tropical (10° to 25°),Atlantic (-50° to 0°),0,0
OMN,Oman,Asia,Western Asia,Right,309500,4644384,23295,47000,Muscat,76983094928,21.4735329,55.975413,North,15.01,False,1,5,2.6M-6.0M,206.5K-456.9K km²,Developing ($25B-$100B),$13.9K-$32.6K,10K-50K,2-19 /km²,1,3-5,Tropical (10° to 25°),Middle East (30° to 60°),0,0
PAN,Panama,Americas,Latin America And The Caribbean,Right,75320,4468087,18662,26000,Panama City,66800800000,8.537981,-80.782127,North,59.32,False,1,5,2.6M-6.0M,28.8K-88.2K km²,Developing ($25B-$100B),$13.9K-$32.6K,10K-50K,44-72 /km²,1,3-5,Equatorial (-10° to 10°),Americas (-100° to -50°),0,0
KWT,Kuwait,Asia,Western Asia,Right,17820,4310108,37533,25000,Kuwait City,134761198946,29.31166,47.481766,North,241.87,False,1,0,2.6M-6.0M,2.8K-28.8K km²,Mid-Size ($100B-$500B),$32.6K-$128.3K,10K-50K,161-302 /km²,1,0,Subtropical (25° to 40°),Middle East (30° to 60°),0,0
HRV,Croatia,Europe,Southern Europe,Right,88070,3853200,21460,18000,Zagreb,60415553039,45.1,15.2,North,43.75,False,1,10,2.6M-6.0M,28.8K-88.2K km²,Developing ($25B-$100B),$13.9K-$32.6K,10K-50K,19-44 /km²,1,6-10,Temperate (40° to 55°),Europe/Africa (0° to 30°),0,0
GEO,Georgia,Asia,Western Asia,Right,69700,3760365,8120,26000,Tbilisi,17743195770,42.315407,43.356892,North,53.95,False,1,4,2.6M-6.0M,28.8K-88.2K km²,Small ($5B-$25B),$7.2K-$13.9K,10K-50K,44-72 /km²,1,3-5,Temperate (40° to 55°),Middle East (30° to 60°),0,0
ERI,Eritrea,Africa,Eastern Africa,Right,117600,3607000,-1,-1,Asmara,-1,15.0,39.0,North,30.67,False,1,1,2.6M-6.0M,88.2K-206.5K km²,Unknown,Unknown,Unknown,19-44 /km²,1,1-2,Tropical (10° to 25°),Middle East (30° to 60°),0,0
MNG,Mongolia,Asia,Eastern Asia,Right,1564116,3447157,5765,18000,Ulaanbaatar,13852850259,46.862496,103.846656,North,2.2,True,2,5,2.6M-6.0M,1.0M-17.1M km²,Small ($5B-$25B),$3.8K-$7.2K,10K-50K,2-19 /km²,2,3-5,Temperate (40° to 55°),East Asia (100° to 140°),0,0
