id,name,continent,subregion,driving_side,area,population,gdp_per_capita,Armed Forces size,Capital/Major City,GDP,Latitude,Longitude,hemisphere,pop_density,is_landlocked,timezone_count,unesco_sites,population_cat,area_cat,GDP_cat,gdp_per_capita_cat,armed_forces_cat,pop_density_cat,timezone_cat,unesco_cat,latitude_cat,longitude_cat,olympics_hosted_count,olympics_latest_year
TON,Tonga,Oceania,Polynesia,Left,747,100179,-1,-1,Nuku'alofa,-1,-20.0,-175.0,South,134.11,False,1,0,882-512.5K,0-2.8K km²,Unknown,Unknown,Unknown,103-161 /km²,1,0,Southern (-30° to -10°),Far West (< -100°),0,0
ATG,Antigua and Barbuda,Americas,Latin America And The Caribbean,Left,440,94298,21560,0,"St. John's, Saint John",1727759259,17.060816,-61.796428,North,214.31,False,1,1,882-512.5K,0-2.8K km²,Micro (<$5B),$13.9K-$32.6K,No Standing Army,161-302 /km²,1,1-2,Tropical (10° to 25°),Americas (-100° to -50°),0,0
AND,Andorra,Europe,Southern Europe,Right,470,80088,46545,0,Andorra la Vella,3154057987,42.506285,1.521801,North,170.4,True,1,1,882-512.5K,0-2.8K km²,Micro (<$5B),$32.6K-$128.3K,No Standing Army,161-302 /km²,1,1-2,Temperate (40° to 55°),Europe/Africa (0° to 30°),0,0
DMA,Dominica,Americas,Latin America And The Caribbean,Left,750,73040,8954,0,Roseau,596033333,15.414999,-61.370976,North,97.39,False,1,1,882-512.5K,0-2.8K km²,Micro (<$5B),$7.2K-$13.9K,No Standing Army,72-103 /km²,1,1-2,Tropical (10° to 25°),Americas (-100° to -50°),0,0
KNA,Saint Kitts and Nevis,Americas,Caribbean,Left,261,51320,-1,-1,Basseterre,-1,17.333333,-62.75,North,196.63,False,1,1,882-512.5K,0-2.8K km²,Unknown,Unknown,Unknown,161-302 /km²,1,1-2,Tropical (10° to 25°),Americas (-100° to -50°),0,0
MHL,Marshall Islands,Oceania,Micronesia,Right,180,41996,6763,0,Majuro,221278000,7.131474,171.184478,North,233.31,False,1,1,882-512.5K,0-2.8K km²,Micro (<$5B),$3.8K-$7.2K,No Standing Army,161-302 /km²,1,1-2,Equatorial (-10° to 10°),Pacific (140°+),0,0
LIE,Liechtenstein,Europe,Western Europe,Right,160,40900,-1,-1,Vaduz,-1,47.266667,9.533333,North,255.62,True,1,0,882-512.5K,0-2.8K km²,Unknown,Unknown,Unknown,161-302 /km²,1,0,Temperate (40° to 55°),Europe/Africa (0° to 30°),0,0
MCO,Monaco,Europe,Western Europe,Right,2,38423,-1,-1,Monaco,-1,43.733333,7.4,North,19021.29,False,1,0,882-512.5K,0-2.8K km²,Unknown,Unknown,Unknown,302-19.0K /km²,1,0,Temperate (40° to 55°),Europe/Africa (0° to 30°),0,0
SMR,San Marino,Europe,Southern Europe,Right,61,34132,-1,-1,City of San Marino,-1,43.766667,12.416667,North,559.54,True,1,1,882-512.5K,0-2.8K km²,Unknown,Unknown,Unknown,302-19.0K /km²,1,1-2,Temperate (40° to 55°),Europe/Africa (0° to 30°),0,0
PLW,Palau,Oceania,Micronesia,Right,460,18058,14565,0,Ngerulmud,283994900,7.51498,134.58252,North,39.26,False,1,1,882-512.5K,0-2.8K km²,Micro (<$5B),$13.9K-$32.6K,No Standing Army,19-44 /km²,1,1-2,Equatorial (-10° to 10°),East Asia (100° to 140°),0,0
NRU,Nauru,Oceania,Micronesia,Left,20,12780,12060,0,Yaren District,133000000,-0.522778,166.931503,South,639.0,False,1,0,882-512.5K,0-2.8K km²,Micro (<$5B),$7.2K-$13.9K,No Standing Army,302-19.0K /km²,1,0,Equatorial (-10° to 10°),Pacific (140°+),0,0
TUV,Tuvalu,Oceania,Polynesia,Left,30,11396,5465,0,Funafuti,47271463,-7.109535,177.64933,South,379.87,False,1,0,882-512.5K,0-2.8K km²,Micro (<$5B),$3.8K-$7.2K,No Standing Army,302-19.0K /km²,1,0,Equatorial (-10° to 10°),Pacific (140°+),0,0
VAT,Vatican City,Europe,Southern Europe,Right,0,882,-1,-1,Vatican City,-1,41.9,12.45,North,1800.0,True,1,2,882-512.5K,0-2.8K km²,Unknown,Unknown,Unknown,302-19.0K /km²,1,1-2,Temperate (40° to 55°),Europe/Africa (0° to 30°),0,0
